,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
1,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"ARANDANO, planta in vitro",27.5,CAJA(S),ESPAÑA
2,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"VID, estaca sin enraizar",7.5,BOLSAS,EEUU
3,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"VID, estaca sin enraizar",343.83,CAJA(S),EEUU
4,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"VID, estaca enraizada",243.8,CAJAS DE CARTON,EEUU
5,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"MANI, material vegetal criopreservado",0.6,CRIOTUBO,ECUADOR
6,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PAPA, material vegetal criopreservado",0.1,CRIOTUBO,ECUADOR
17,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",7280,BINES DE MADERA,CHILE
18,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",7280,BINES DE MADERA,CHILE
19,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",7280,BINES DE MADERA,CHILE
20,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",7280,BINES DE MADERA,CHILE
21,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",7280,BINES DE MADERA,CHILE
22,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",21840,BINES DE MADERA,CHILE
23,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",7280,BINES DE MADERA,CHILE
24,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",29120,BINES DE MADERA,CHILE
25,2026,2,"SANTA ROSA, TACNA","ARANDANO, planta",21840,BINES DE MADERA,CHILE
2660,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",15,CAJAS DE CARTON,INDIA
2661,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",1,CAJAS DE CARTON,INDIA
